commune,adresse,edifice,lien
Anzy-le-Duc,Le Bourg,"Eglise de la Trinité, Sainte-Croix et Vierge Mère",http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=121
Autun,"7, rue Saint-Germain",Chapelle de l'institution du Saint-Sacrement,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=71
Autun,Place du Champ-de-Mars,Eglise Notre-Dame,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=65
Autun,Place du Champ-de-Mars,Eglise Notre-Dame,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=66
Autun,"17, rue Saint-Antoine",Chapelle de la maison Saint-Antoine,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=67
Autun,Place Saint-Louis,Cathédrale Saint-Lazare,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=68
Autun,Place Saint-Louis,Cathédrale Saint-Lazare,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=69
Autun,"14, rue aux Raz",Chapelle de la Maison Saint-Lazare,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=70
Blanzy,Rue de la Poste,Eglise Saint-Pierre,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=73
Bourbon-Lancy,Place de l'Eglise,Eglise du Sacré-Coeur,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=74
Boyer,Venière,Abbaye Notre-Dame,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=114
Chagny,Place de l'Eglise,Eglise Saint-Martin,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=117
Chalon-sur-Saône,25 rue Carnot,Temple de l'Eglise réformée,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=75
Chalon-sur-Saône,22 avenue Victor-Hugo,Eglise Saint-Cosme,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=76
Chalon-sur-Saône,12 rue du Four-des-Chènes,Eglise Saint-Jean-des-Vignes,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=77
Chalon-sur-Saône,9 place de l'Hôtel-de-Ville,Eglise Saint-Pierre,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=78
Chalon-sur-Saône,Place Saint-Vincent,Cathédrale Saint-Vincent,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=79
Chalon-sur-Saône,Place Saint-Vincent,Cathédrale Saint-Vincent,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=80
